"ID_Item"	"Titre"	"Description"	"Contenu"	"Categorie"	"Lien"	"Date_Recup"	"Date_publication"	"ID_flux"	"typeFlux"	"Journal"
"4503457"	"Afganistán: matan a 17 personas en atentado suicida en un funeral"	"Un ataque suicida provocó la muerte de 17 y 39 heridos ayer en el funeral de un comandante de la Policía que falleció por la explosión de una mina en la provincia de Laghman (este de Afganistán), informó a Efe una fuente oficial."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150129/afganistan-matan-a-17-personas-en-atentado-suicida-en-un-funeral_289506_638557.html"	"2015-01-30 09:14:45"	"2015-01-30 00:24:00"	"744184"	"International"	"Los tiempos"
"4503458"	"Cabello anuncia acción judicial contra diario español"	"El presidente de la Asamblea Nacional venezolana, Diosdado Cabello, anunció el miércoles que tomará acciones legales en contra del periódico español ABC por un artículo que refiere que un capitán de la armada lo acusa de ser el cabecilla de un cártel del narcotráfico integrado por militares, que según él tendría como propósito debilitar al Gobierno de Nicolás Maduro."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150129/-cabello-anuncia-accion-judicial-contra-diario_289499_638544.html"	"2015-01-30 09:14:45"	"2015-01-29 23:58:00"	"744184"	"International"	"Los tiempos"
"4503461"	"Desastres causan 176 muertes"	"Al menos 176 personas han muerto y otras 200 mil han tenido que abandonar sus hogares a causa de las inundaciones que han afectado Malaui en las últimas semanas, según un informe del Gobierno publicado ayer por los medios locales."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150129/desastres-causan-176-muertes-_289501_638545.html"	"2015-01-30 09:14:45"	"2015-01-30 00:00:00"	"744184"	"International"	"Los tiempos"
"4573147"	"Advierten una crisis humanitaria en Venezuela"	"El expresidente colombiano Andrés Pastrana advirtió sobre una inminente crisis humanitaria en Venezuela por el desabastecimiento de productos de primera necesidad, tras su visita la semana pasada a ese país donde pudo comprobar la discriminación que sufren los colombianos."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150202/advierten-una-crisis-humanitaria-en-venezuela_289853_639343.html"	"2015-02-02 18:16:00"	"2015-02-02 05:09:00"	"744184"	"International"	"Los tiempos"
"4644038"	"Fiscal Fein en el centro del escándalo por caso Nisman"	"La fiscal argentina a cargo del caso de la muerte de Alberto Nisman, que denunció a la presidenta Cristina Fernández por presunto encubrimiento de terroristas, suspendió ayer las vacaciones que iba a tomar en mitad del proceso, tras un aluvión de críticas."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150204/fiscal-fein-en-el-centro-del-escandalo-por-caso_290216_640137.html"	"2015-02-05 17:18:30"	"2015-02-04 23:38:00"	"744184"	"International"	"Los tiempos"
"4820916"	"Opositora venezolana critica la represión"	"La dirigente opositora María Corina Machado <U+0096>una de las principales impulsoras, junto a Leopoldo López ,de las protestas que comenzaron en Venezuela hace hoy un año<U+0096> aseguró que su llamamiento a las calles fue y es <U+0093>estrictamente pacífico<U+0094> para lograr una <U+0093>transición a la democracia<U+0094>."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150213/opositora-venezolana-critica-la-represion-_291182_642331.html"	"2015-02-13 16:15:43"	"2015-02-13 06:21:00"	"744184"	"International"	"Los tiempos"
"4820915"	"Vice anuncia más investigaciones"	"El vicepresidente del Estado, Álvaro García Linera, anunció que el viernes de la próxima semana la Asamblea Legislativa Plurinacional (ALP) conformará la nueva comisión investigadora del proceso de privatización en Bolivia."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150213/vice-anuncia-mas-investigaciones_291189_642340.html"	"2015-02-13 16:15:43"	"2015-02-13 06:32:00"	"744184"	"International"	"Los tiempos"
"4696335"	"Aseguran que Clinton busca casa de campaña"	"La exsecretaria de Estado de EEU, Hillary Clinton, está a la búsqueda de oficinas en Nueva York para instalar la sede de su campaña presidencial, informó ayer el diario <U+0093>Daily News<U+0094>."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150207/aseguran-que-clinton-busca-casa-de-campana_290604_640999.html"	"2015-02-08 05:49:55"	"2015-02-07 23:44:00"	"744184"	"International"	"Los tiempos"
"4573149"	"En pocas líneas"	"Al menos siete civiles murieron ayer y 20 resultaron heridos al explotar un autobús en el centro de Damasco, cerca del famoso zoco de Al Hamidiya, informó el Observatorio Sirio de Derechos Humanos."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150202/en-pocas-lineas_289855_639345.html"	"2015-02-02 18:16:00"	"2015-02-02 05:11:00"	"744184"	"International"	"Los tiempos"
"4644040"	"Maduro pide a Obama que detenga plan golpista contra su Gobierno"	"El presidente de Venezuela, Nicolás Maduro, acusó ayer al Gobierno de EEUU de estar detrás de un plan de golpe de Estado en su contra y pidió a su par estadounidense, Barack Obama, que lo detenga <U+0093>a tiempo<U+0094>."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150204/maduro-pide-a-obama-que-detenga-plan-golpista-contra-su-gobierno-_290217_640140.html"	"2015-02-05 17:18:30"	"2015-02-04 23:39:00"	"744184"	"International"	"Los tiempos"
"4478224"	"Diez militares de la OTAN mueren en España"	"Ocho militares franceses y dos griegos murieron ayer cuando un cazabombardero F-16 griego se estrelló durante unos ejercicios contra otros aviones en un centro de perfeccionamiento para pilotos de élite de la OTAN en España."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150127/diez-militares-de-la-otan-mueren-en-espana_289166_637805.html"	"2015-01-29 09:13:34"	"2015-01-27 05:08:00"	"744184"	"International"	"Los tiempos"
"4820914"	"Reyertas en aniversario de protestas en Venezuela"	"Marchas de chavistas y opositores, así como enfrentamientos entre supuestos manifestantes adversos al oficialismo con funcionarios de seguridad, marcaron ayer el primer aniversario del inicio de la ola de protestas antigubernamentales en Venezuela que entonces dejó 43 muertos de ambos bandos."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150213/reyertas-en-aniversario-de-protestas-en-venezuela_291188_642339.html"	"2015-02-13 16:15:43"	"2015-02-13 06:31:00"	"744184"	"International"	"Los tiempos"
"4503460"	"Ampliarán sanciones a Rusia"	"La UE logró prolongar las sanciones contra Rusia por el conflicto en Ucrania, pero no pudo ampliarlas. Los ministros de Exteriores de la Unión Europea (UE) acordaron prolongar una vez más las sanciones contra funcionarios, empresas e instituciones rusas por el conflicto ucraniano"	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150129/ampliaran-sanciones-a-rusia-_289507_638559.html"	"2015-01-30 09:14:45"	"2015-01-30 00:25:00"	"744184"	"International"	"Los tiempos"
"4696332"	"Defienden toma de poder"	"El líder del movimiento rebelde yemení de los hutíes, Abdelmalek al Huti, defendió ayer que pretende <U+0093>llenar el vacío de poder<U+0094> y tendió una mano a sus opositores, en medio de las denuncias de golpe de Estado y de una escalada de la violencia."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150207/defienden-toma-de-poder_290598_640991.html"	"2015-02-08 05:49:55"	"2015-02-07 23:28:00"	"744184"	"International"	"Los tiempos"
"4478229"	"Hallan muerto a periodista"	"El periodista y activista vecinal del estado mexicano de Veracruz José Moisés Sánchez Cerezo, desaparecido el pasado 2 de enero, fue localizado sin vida después de que fuera detenido el autor confeso de su muerte, informaron ayer autoridades locales."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150127/hallan-muerto-a-periodista-_289169_637809.html"	"2015-01-29 09:13:34"	"2015-01-27 05:20:00"	"744184"	"International"	"Los tiempos"
"4644046"	"Denuncian vejámenes a niños por parte del EI"	"Militantes del Estado Islámico (EI) están vendiendo niños secuestrados en el mercado como esclavos sexuales y matando a otros jóvenes, mediante la crucifixión o enterrándolos vivos, informó ayer un organismo de control de la ONU."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150204/denuncian-vejamenes-a-ninos-por-parte-del-ei_290213_640134.html"	"2015-02-05 17:18:30"	"2015-02-04 23:35:00"	"744184"	"International"	"Los tiempos"
"4451293"	"Al menos 14 muertos en Egipto"	"Al menos 14 personas, incluido un policía, murieron ayer en enfrentamientos con la Policía en Egipto, en momentos en que el país conmemora el cuarto aniversario de la revuelta de 2011 que expulsó a Hosni Mubarak del poder."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150126/al-menos-14-muertos-en-egipto_289070_637556.html"	"2015-01-26 23:06:15"	"2015-01-26 05:12:00"	"744184"	"International"	"Los tiempos"
"4540680"	"Alcalde de Buenos Aires sella una nueva alianza"	"El alcalde de Buenos Aires, Mauricio Macri, anunció una nueva alianza con la diputada opositora Elisa Carrió con el objetivo de construir <U+0093>una alternativa competitiva frente a los que gobiernan hace décadas<U+0094>."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150131/alcalde-de-buenos-aires-sella-una-nueva-alianza_289750_639095.html"	"2015-02-01 05:15:09"	"2015-01-31 23:46:00"	"744184"	"International"	"Los tiempos"
"4540677"	"Exjefa de espionaje se entrega en Bogotá"	"La exjefa de los servicios de inteligencia de Colombia María del Pilar Hurtado, acusada de varios delitos, llegó ayer a Bogotá, donde permanece detenida, tras entregarse a las autoridades panameñas, según su abogado, Jaime Camacho."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150131/exjefa-de-espionaje-se-entrega-en-bogota_289747_639092.html"	"2015-02-01 05:15:09"	"2015-01-31 23:43:00"	"744184"	"International"	"Los tiempos"
"4573146"	"Nueva York en alerta por nueva tormenta de nieve"	"Las autoridades de Nueva York alertaron ayer sobre el impacto de una nueva tormenta de nieve y de hielo que afectará a la ciudad en las próximas horas, con efectos mucho menores que el temporal que se registró la semana pasada."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150202/nueva-york-en-alerta-por-nueva-tormenta-de-nieve_289852_639342.html"	"2015-02-02 18:16:00"	"2015-02-02 05:09:00"	"744184"	"International"	"Los tiempos"
"4696333"	"Unasur anuncia reunión para tratar caso Venezuela"	"La Unión de Naciones Sudamericanas (Unasur) se reunirá mañana en Montevideo para analizar la situación de Venezuela. La reunión fue adelantada por el canciller ecuatoriano, Ricardo Patiño, según anunció ayer en su cuenta de la red social Twitter."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150207/unasur-anuncia-reunion-para-tratar-caso-venezuela_290602_640995.html"	"2015-02-08 05:49:55"	"2015-02-07 23:40:00"	"744184"	"International"	"Los tiempos"
"4696337"	"Ataque a canal televisivo deja 2 heridos en México"	"Dos personas resultaron heridas tras un ataque con un explosivo a la sede de la empresa Televisa en el municipio de Matamoros (Tamaulipas), noreste de México, donde se ha recrudecido la violencia en las últimas semanas."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150207/ataque-a-canal-televisivo-deja-2-heridos-en-mexico_290606_641002.html"	"2015-02-08 05:49:55"	"2015-02-07 23:47:00"	"744184"	"International"	"Los tiempos"
"4696334"	"Prevén que colaborador de Nisman será desplazado de la Fiscalía Amia"	"Diego Lagomarsino, el informático que trabajaba con el fiscal Alberto Nisman y que le entregó el arma que acabó con su vida, será desplazado de la Fiscalía que investiga el atentado perpetrado en 1994 contra la mutualista judía Amia, informaron ayer medios locales."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150207/preven-que-colaborador-de-nisman-sera-desplazado-de-la-fiscalia_290603_640997.html"	"2015-02-08 05:49:55"	"2015-02-07 23:42:00"	"744184"	"International"	"Los tiempos"
"4688835"	"Joe Biden pide a la UE más firmeza ante Rusia"	"El vicepresidente de EEUU, Joe Biden, instó ayer a la Unión Europea (UE) a que se mantenga <U+0093>firme<U+0094> ante Rusia en el recrudecimiento de la crisis ucraniana, a la vez que ofreció apoyo para combatir el yihadismo y dio un respaldo político a la negociación comercial transatlántica."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150206/joe-biden-pide-a-la-ue-mas-firmeza-ante-rusia-_290465_640671.html"	"2015-02-07 19:19:38"	"2015-02-07 00:37:00"	"744184"	"International"	"Los tiempos"
"4688839"	"La Suprema canadiense autoriza suicidio asistido"	"En 12 meses, el suicidio asistido por doctores será legal en Canadá después de que el Tribunal Supremo del país dijese ayer que la prohibición actualmente en vigor es anticonstitucional porque niega <U+0093>el derecho a la vida, la libertad y la seguridad del individuo<U+0094>."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150206/la-suprema-canadiense-autoriza-suicidio-asistido_290469_640675.html"	"2015-02-07 19:19:38"	"2015-02-07 00:40:00"	"744184"	"International"	"Los tiempos"
"4666094"	"Ministros de América acuerdan pedir priorizar educación inclusiva"	"Autoridades educativas del continente acordaron ayer en Panamá transmitir a sus jefes de Estado en la Cumbre de las Américas de abril priorizar la educación <U+0093>inclusiva y equitativa<U+0094>."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150206/ministros-de-america-acuerdan-pedir-priorizar-educacion_290371_640478.html"	"2015-02-06 16:19:00"	"2015-02-06 05:32:00"	"744184"	"International"	"Los tiempos"
"4451290"	"Se eleva la polémica en torno al caso Nisman"	"La decisión de la Presidencia argentina de publicar datos del viaje del periodista que adelantó la muerte del fiscal Alberto Nisman, tras denunciar que dejaba el país por sentirse amenazado, elevó ayer la tensión política en el país y las críticas contra el Gobierno de Fernández."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150126/se-eleva-la-polemica-en-torno-al-caso-nisman_289067_637551.html"	"2015-01-26 23:06:15"	"2015-01-26 04:57:00"	"744184"	"International"	"Los tiempos"
"4688838"	"El EI afirma que rehén murió en bombardeo"	"El grupo Estado Islámico (EI) afirmó ayer que una mujer estadounidense que estaba en su poder murió durante un bombardeo en Siria, que fue llevado a cabo por la coalición internacional que combate a los yihadistas."	"NULL"	"NULL"	"http://www.lostiempos.com/diario/actualidad/internacional/20150206/-el-ei-afirma-que-rehen-murio-en-bombardeo_290468_640674.html"	"2015-02-07 19:19:38"	"2015-02-07 00:39:00"	"744184"	"International"	"Los tiempos"
