"id";"lang";"label";"type";"code";"iso3"
"Q902";"fr";"la République populaire du Bangladesh";"country_name";"NA_BGD";"BGD"
"Q219";"fr";"Bulg.";"country_name";"NA_BGR";"BGR"
"Q219";"fr";"Bulgarie";"country_name";"NA_BGR";"BGR"
"Q219";"fr";"la République de Bulgarie";"country_name";"NA_BGR";"BGR"
"Q472";"fr";"Sofia";"capital_city";"CA_BGR";"BGR"
"Q3882";"fr";"Manama";"capital_city";"CA_BHR";"BHR"
"Q398";"fr";"Bahreïn";"country_name";"NA_BHR";"BHR"
"Q398";"fr";"le Royaume de Bahreïn";"country_name";"NA_BHR";"BHR"
"Q398";"fr";"Royaume de Bahreïn";"country_name";"NA_BHR";"BHR"
"Q2467";"fr";"Nassau";"capital_city";"CA_BHS";"BHS"
"Q778";"fr";"Bahamas";"country_name";"NA_BHS";"BHS"
"Q778";"fr";"le Commonwealth des Bahamas";"country_name";"NA_BHS";"BHS"
"Q778";"fr";"Les Bahamas";"country_name";"NA_BHS";"BHS"
"Q11194";"fr";"Sarajevo";"capital_city";"CA_BIH";"BIH"
"Q225";"fr";"Bosnie et Herzégovine";"country_name";"NA_BIH";"BIH"
"Q225";"fr";"Bosnie-et-Herzégovine";"country_name";"NA_BIH";"BIH"
"Q225";"fr";"Bosnie-Herzégovine";"country_name";"NA_BIH";"BIH"
"Q225";"fr";"Bosnie-herzégovine";"country_name";"NA_BIH";"BIH"
"Q225";"fr";"la Bosnie-Herzégovine";"country_name";"NA_BIH";"BIH"
"Q184";"fr";"Belarus";"country_name";"NA_BLR";"BLR"
"Q184";"fr";"Bélarus";"country_name";"NA_BLR";"BLR"
"Q184";"fr";"Biélor.";"country_name";"NA_BLR";"BLR"
"Q184";"fr";"Biélorussie";"country_name";"NA_BLR";"BLR"
"Q184";"fr";"la République de Biélorussie";"country_name";"NA_BLR";"BLR"
"Q2280";"fr";"Minsk";"capital_city";"CA_BLR";"BLR"
"Q242";"fr";"Belize";"country_name";"NA_BLZ";"BLZ"
"Q242";"fr";"Bélize";"country_name";"NA_BLZ";"BLZ"
"Q242";"fr";"le Bélize";"country_name";"NA_BLZ";"BLZ"
"Q3043";"fr";"Belmopan";"capital_city";"CA_BLZ";"BLZ"
"Q3043";"fr";"Belmopán";"capital_city";"CA_BLZ";"BLZ"
"Q1491";"fr";"La Paz";"capital_city";"CA_BOL";"BOL"
"Q750";"fr";"Bolivie";"country_name";"NA_BOL";"BOL"
"Q750";"fr";"l État plurinational de Bolivie";"country_name";"NA_BOL";"BOL"
"Q155";"fr";"Amérique lusophone";"country_name";"NA_BRA";"BRA"
"Q155";"fr";"Auriverde";"country_name";"NA_BRA";"BRA"
"Q155";"fr";"Brasil";"country_name";"NA_BRA";"BRA"
"Q155";"fr";"Brazil";"country_name";"NA_BRA";"BRA"
"Q155";"fr";"Bré.";"country_name";"NA_BRA";"BRA"
"Q155";"fr";"Brés.";"country_name";"NA_BRA";"BRA"
"Q155";"fr";"Brésil";"country_name";"NA_BRA";"BRA"
"Q155";"fr";"Brésilien";"country_name";"NA_BRA";"BRA"
"Q155";"fr";"Brésilienne";"country_name";"NA_BRA";"BRA"
"Q155";"fr";"Brézil";"country_name";"NA_BRA";"BRA"
"Q155";"fr";"la République fédérative du Brésil";"country_name";"NA_BRA";"BRA"
"Q155";"fr";"République des États-Unis du Brésil";"country_name";"NA_BRA";"BRA"
"Q155";"fr";"République fédérative du Brésil";"country_name";"NA_BRA";"BRA"
"Q2844";"fr";"Brasilia";"capital_city";"CA_BRA";"BRA"
"Q244";"fr";"Barbade";"country_name";"NA_BRB";"BRB"
"Q244";"fr";"la Barbade";"country_name";"NA_BRB";"BRB"
"Q36168";"fr";"Bridgetown";"capital_city";"CA_BRB";"BRB"
"Q921";"fr";"Brunei";"country_name";"NA_BRN";"BRN"
"Q921";"fr";"Brunéi";"country_name";"NA_BRN";"BRN"
"Q921";"fr";"Brunei Darussalam";"country_name";"NA_BRN";"BRN"
"Q921";"fr";"Brunéi Darussalam";"country_name";"NA_BRN";"BRN"
"Q921";"fr";"le Brunei Darussalam";"country_name";"NA_BRN";"BRN"
"Q9279";"fr";"Bandar Seri Begawan";"capital_city";"CA_BRN";"BRN"
"Q917";"fr";"Bhoutan";"country_name";"NA_BTN";"BTN"
"Q917";"fr";"le Royaume du Bhoutan";"country_name";"NA_BTN";"BTN"
"Q9270";"fr";"Thimphou";"capital_city";"CA_BTN";"BTN"
"Q3919";"fr";"Gaborone";"capital_city";"CA_BWA";"BWA"
"Q963";"fr";"Botswana";"country_name";"NA_BWA";"BWA"
"Q963";"fr";"la République du Botswana";"country_name";"NA_BWA";"BWA"
"Q3832";"fr";"Bangui";"capital_city";"CA_CAF";"CAF"
"Q929";"fr";"Centrafrique";"country_name";"NA_CAF";"CAF"
"Q929";"fr";"la République centrafricaine";"country_name";"NA_CAF";"CAF"
"Q929";"fr";"République centrafricaine";"country_name";"NA_CAF";"CAF"
"Q16";"fr";"Can.";"country_name";"NA_CAN";"CAN"
"Q16";"fr";"Canada";"country_name";"NA_CAN";"CAN"
"Q16";"fr";"le Canada";"country_name";"NA_CAN";"CAN"
"Q1930";"fr";"Bytown";"capital_city";"CA_CAN";"CAN"
"Q1930";"fr";"Ottawa";"capital_city";"CA_CAN";"CAN"
"Q39";"fr";"Confédération helvétique";"country_name";"NA_CHE";"CHE"
"Q39";"fr";"Confédération suisse";"country_name";"NA_CHE";"CHE"
"Q39";"fr";"Helvétie";"country_name";"NA_CHE";"CHE"
"Q39";"fr";"la Confédération suisse";"country_name";"NA_CHE";"CHE"
"Q39";"fr";"Suisse";"country_name";"NA_CHE";"CHE"
"Q70";"fr";"Bern";"capital_city";"CA_CHE";"CHE"
"Q70";"fr";"Berne";"capital_city";"CA_CHE";"CHE"
"Q2887";"fr";"Santiago";"capital_city";"CA_CHL";"CHL"
"Q2887";"fr";"Santiago du Chili";"capital_city";"CA_CHL";"CHL"
"Q298";"fr";"Chili";"country_name";"NA_CHL";"CHL"
"Q298";"fr";"la République du Chili";"country_name";"NA_CHL";"CHL"
"Q148";"fr";"Chine";"country_name";"NA_CHN";"CHN"
"Q148";"fr";"Chine communiste";"country_name";"NA_CHN";"CHN"
"Q148";"fr";"Chine continentale";"country_name";"NA_CHN";"CHN"
"Q148";"fr";"Chine populaire";"country_name";"NA_CHN";"CHN"
"Q148";"fr";"la République populaire de Chine";"country_name";"NA_CHN";"CHN"
"Q148";"fr";"République populaire de Chine";"country_name";"NA_CHN";"CHN"
"Q956";"fr";"Beijing";"capital_city";"CA_CHN";"CHN"
"Q956";"fr";"Pékin";"capital_city";"CA_CHN";"CHN"
"Q1008";"fr";"Côte d Ivoire";"country_name";"NA_CIV";"CIV"
"Q1008";"fr";"Côte D ivoire";"country_name";"NA_CIV";"CIV"
"Q1008";"fr";"Côte-d Ivoire";"country_name";"NA_CIV";"CIV"
"Q1008";"fr";"la République de Côte d Ivoire";"country_name";"NA_CIV";"CIV"
"Q3768";"fr";"Yamoussoukro";"capital_city";"CA_CIV";"CIV"
"Q1009";"fr";"Cameroun";"country_name";"NA_CMR";"CMR"
"Q1009";"fr";"la République du Cameroun";"country_name";"NA_CMR";"CMR"
"Q1009";"fr";"République du Cameroun";"country_name";"NA_CMR";"CMR"
"Q3808";"fr";"Yaoundé";"capital_city";"CA_CMR";"CMR"
"Q3808";"fr";"Yaounde, Ongola";"capital_city";"CA_CMR";"CMR"
"Q3838";"fr";"Kinshasa";"capital_city";"CA_COD";"COD"
"Q3838";"fr";"Léopoldville";"capital_city";"CA_COD";"COD"
"Q974";"fr";"Congo-Kinshasa";"country_name";"NA_COD";"COD"
"Q974";"fr";"la République démocratique du Congo";"country_name";"NA_COD";"COD"
"Q974";"fr";"RD Congo";"country_name";"NA_COD";"COD"
"Q974";"fr";"République démocratique du Congo";"country_name";"NA_COD";"COD"
"Q3844";"fr";"Brazzaville";"capital_city";"CA_COG";"COG"
"Q971";"fr";"Congo";"country_name";"NA_COG";"COG"
"Q971";"fr";"Congo-Brazzaville";"country_name";"NA_COG";"COG"
"Q971";"fr";"République du Congo";"country_name";"NA_COG";"COG"
"Q2841";"fr";"Bogota";"capital_city";"CA_COL";"COL"
"Q2841";"fr";"Bogotá";"capital_city";"CA_COL";"COL"
"Q2841";"fr";"Bogotá D.C.";"capital_city";"CA_COL";"COL"
"Q2841";"fr";"Santa Fe de Bogotá";"capital_city";"CA_COL";"COL"
"Q739";"fr";"Col.";"country_name";"NA_COL";"COL"
"Q739";"fr";"Colombie";"country_name";"NA_COL";"COL"
"Q739";"fr";"la République de Colombie";"country_name";"NA_COL";"COL"
"Q739";"fr";"République de Colombie";"country_name";"NA_COL";"COL"
"Q3901";"fr";"Moroni";"capital_city";"CA_COM";"COM"
"Q970";"fr";"Comores";"country_name";"NA_COM";"COM"
"Q970";"fr";"l Union des Comores";"country_name";"NA_COM";"COM"
"Q970";"fr";"Union des Comores";"country_name";"NA_COM";"COM"
"Q1011";"fr";"Cabo Verde";"country_name";"NA_CPV";"CPV"
"Q1011";"fr";"Cap-V.";"country_name";"NA_CPV";"CPV"
"Q1011";"fr";"Cap-Vert";"country_name";"NA_CPV";"CPV"
"Q1011";"fr";"Cap-vert";"country_name";"NA_CPV";"CPV"
"Q1011";"fr";"îles du Cap-Vert";"country_name";"NA_CPV";"CPV"
"Q1011";"fr";"la République du Cap-Vert";"country_name";"NA_CPV";"CPV"
"Q3751";"fr";"Praia";"capital_city";"CA_CPV";"CPV"
"Q3070";"fr";"San Jose";"capital_city";"CA_CRI";"CRI"
"Q3070";"fr";"San José";"capital_city";"CA_CRI";"CRI"
"Q3070";"fr";"San José (Costa Rica)";"capital_city";"CA_CRI";"CRI"
"Q800";"fr";"Costa Rica";"country_name";"NA_CRI";"CRI"
"Q800";"fr";"Costa-Rica";"country_name";"NA_CRI";"CRI"
"Q800";"fr";"la République du Costa Rica";"country_name";"NA_CRI";"CRI"
"Q1563";"fr";"La Havane";"capital_city";"CA_CUB";"CUB"
"Q241";"fr";"Cuba";"country_name";"NA_CUB";"CUB"
