id;lang;label
Q159583;fr;Chaire de Pierre
Q159583;fr;Saint siege
Q159583;fr;Saint Siège
Q159583;fr;Saint-Siege
Q159583;fr;Saint-Siège
Q159583;fr;Saint-Siège de Rome
Q159583;fr;Sancta Sedes
Q159583;fr;Santa Sede
Q159583;fr;Siège de Pierre
Q159583;fr;Siège pontifical
Q16;fr;Can.
Q16;fr;Canada
Q16;fr;le Canada
Q167551;fr;Gitega
Q17;fr;État du Japon
Q17;fr;Jap.
Q17;fr;Japon
Q17;fr;le Japon
Q17;fr;pays du soleil levant
Q1741;fr;Vienne
Q1741;fr;Wien
Q1748;fr;Copenhague
Q1748;fr;København
Q1754;fr;STHLM
Q1754;fr;Stockholm
Q1757;fr;Helsingfors
Q1757;fr;Helsinki
Q1761;fr;Baile Átha Cliath
Q1761;fr;Dublin
Q1764;fr;Reykjavik
Q1764;fr;Reykjavík
Q1770;fr;Reval
Q1770;fr;Tallinn
Q1773;fr;Riga
Q1780;fr;Bratislava
Q1780;fr;Posonie
Q1780;fr;Pozsony (hu)
Q1780;fr;Presbourg
Q1781;fr;Budapest
Q183;fr;All.
Q183;fr;Allemagne
Q183;fr;BR Deutschland
Q183;fr;Bundesrepublik Deutschland
Q183;fr;Deutschland
Q183;fr;la République fédérale d Allemagne
Q183;fr;R. F. A.
Q183;fr;République fédérale allemande
Q183;fr;République fédérale d Allemagne
Q184;fr;Belarus
Q184;fr;Bélarus
Q184;fr;Biélor.
Q184;fr;Biélorussie
Q184;fr;la République de Biélorussie
Q1842;fr;Luxembourg-Ville
Q1842;fr;Ville de Luxembourg
Q1844;fr;Vaduz
Q1850;fr;Phnom Penh
Q1858;fr;Hà N<U+1ED9>i
Q1858;fr;Hanoi
Q1858;fr;Hanoï
Q1861;fr;Bangkok
Q1861;fr;Krung Thep
Q1861;fr;Krung Thep Maha Nakhon
Q1861;fr;Krungthepmahanakhon Amonrattanakosin Mahintharayutthaya Mahadilokphop Noppharatratchathaniburirom Udomratchaniwetmahasathan Amonphimanawatansathit Sakkathattiyawitsanukamprasit
Q1863;fr;Andorre-la-Vieille
Q1863;fr;Andorre-la-vieille
Q1865;fr;Kuala Lumpur
Q1867;fr;Taibei
Q1867;fr;Taipei
Q18808;fr;P yongyang
Q18808;fr;Phyongyang
Q18808;fr;Pyeongyang
Q18808;fr;Pyongyang
Q189;fr;Isl.
Q189;fr;Islande
Q189;fr;la République d Islande
Q189;fr;République d Islande
Q1899;fr;Kiev
Q1899;fr;Kyiv
Q191;fr;Esthonie
Q191;fr;Estonie
Q191;fr;la République d Estonie
Q191;fr;République d Estonie
Q1930;fr;Bytown
Q1930;fr;Ottawa
Q1947;fr;Djouba
Q1953;fr;Erevan
Q1953;fr;Iérevan
Q1953;fr;Yerevan
Q1963;fr;Khartoum
Q19660;fr;Bucarest
Q19660;fr;Bucharest
Q19660;fr;Bucuresti
Q19660;fr;Capitale de la Roumanie
Q19660;fr;Municipalité de Bucarest
Q19689;fr;Tirana
Q19689;fr;Tiranë
Q20;fr;le Royaume de Norvège
Q20;fr;Norv.
Q20;fr;Norvège
Q20;fr;Royaume de Norvège
Q211;fr;la République de Lettonie
Q211;fr;Lettonie
Q21197;fr;Capitale de la Moldavie
Q21197;fr;Chi<U+0219>inau
Q21197;fr;Chisinau
Q21197;fr;Kichinev
Q21197;fr;Kichiniov
Q21197;fr;Kischinev
Q21197;fr;Kishinev
Q21197;fr;Kishinew
Q21197;fr;Kishinyov
Q212;fr;Ukr.
Q212;fr;Ukraine
Q213;fr;Bohémie
Q213;fr;la République tchèque
Q213;fr;Rép. tch.
Q213;fr;République tchèque
Q213;fr;Tchéquie
Q214;fr;la République slovaque
Q214;fr;République slovaque
Q214;fr;Slovaquie
Q215;fr;la République de Slovénie
Q215;fr;République de Slovénie
Q215;fr;Slovénie
Q216;fr;Vilna
Q216;fr;Vilnius
Q216;fr;Wilna
Q216;fr;Wilne
Q216;fr;Wilnja
Q216;fr;Wilnjus
Q216;fr;Wilno
Q217;fr;la République de Moldavie
Q217;fr;Moldavie
Q217;fr;Moldova
Q217;fr;République de Moldavie
Q217;fr;République de Moldova
Q218;fr;la Roumanie
